sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
D1/D4-D4c-D2-D1c-D1h,1442603,0.03570268901357533,-0.03480125506783829,0.07409644156156146,0.02232826675396739,-0.009126306114748978,-0.047014852908574906,-0.03993912223208455,-0.02635659068752323,0.05784251274993999,0.00884940717599224,0.006702394632425174,-0.0002939025550847244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d,1442640,0.0363944601765906,0.032064483532408906,0.07474471693503935,0.022939062072548307,-0.038624533341545635,0.000878692930827748,-0.016382643098868926,0.019505873946726773,0.007127502490500574,-0.038725496051269,-0.014185385435458317,-0.004317686763477769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ip,1442671,0.11545612156446604,-0.02023056510865543,0.15440334743494244,-0.07847542788704608,0.004771517469243905,-0.015251867928496213,-0.008059685406203665,0.05172754878503678,-0.01909035989497139,0.028580981054322364,0.006258646908809112,-0.00870417617279303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1ip,1442672,0.025614047381500332,-0.02211747355936737,0.11274490208471391,0.016459047297105546,-0.009812510452184347,0.0012654779195816865,-0.016852716611932834,0.03684403986133228,-0.019221878732553228,0.003444771594956329,0.023588150985453936,0.013692060203523225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,1443229,0.0006293546070551486,0.273044334670475,-0.0742923672296066,0.04826377765853099,-0.03464594461595659,0.009487541319043674,-0.01659978040086897,-0.014959690314005823,-0.0021252919577131827,-0.0018079725581804007,0.01426148691638219,0.00512052506164036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D17e-D17d-D4c-D1r-D17c-D17j,1442741,0.07323248222504174,0.30801383560411044,-0.08977536656081869,-0.08128469519294104,0.0100188520918507,0.0031786336216268873,0.026173179986964425,-0.0029814040178496497,-0.0007698048460813264,0.01618196494958051,-0.004691063445619917,-0.002010279208124589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1hg-D4c-D1c-D5ad-D1ju,1443262,0.006485939643329145,0.028985988362982114,0.010137684796599362,0.14512644925168125,0.16590480822743534,0.0017546199389670335,0.032152660662379436,0.01664983725545129,0.004734027977208218,0.002416198711676607,-0.0021220036105293162,-0.0032810847686271243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4f-D1c,1442784,-0.03173417746145534,-0.14192728207140234,-0.12252112788890947,0.07363480713449162,-0.09360431562981757,0.028106434440364904,0.06868701684471502,-0.004850037395268688,0.005629208597936796,0.024072644833339412,0.009809513279047026,-0.00419082126718408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1n-D4c,1442802,0.1140034579296101,-0.06902531982732177,-0.02258423467707247,-0.08610575242088944,0.04838559441822889,0.13798106162654242,-0.03335756152745441,-0.015983720585640532,0.01959023103386252,0.0024621394992624464,-0.0015483080698800692,-0.002110165259268358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.5734860146869694,0.16241181268831323,0.11843352184096001,0.04912233395526063,0.0334881065421785,0.02304387483718164,0.01414855949911512,0.010375079003346908,0.007899783770484333,0.0039034376694685453,0.0031557678170702802,0.0005317076896514205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
