sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
R326,238956,-0.19208862052538414,-0.22668079060742247,-0.011774280251026888,-0.014172131021253212,-0.002134035016786381,-0.0018251051319524145,-0.013282601520666208,-0.0016196866459433547,-0.0009543682282908626,0.00883326614485524,0.03450625703504607,0.004948275228666887,-0.028936682753829546,-0.004135397186994339,-0.010861571029214208,-0.010859557977947638,0.005228308574556796,0.002683280687811113,0.0032695851351419577,-0.0041885322170588215,0.0029980018050150565,0.003309244286399206,-0.0025025053695947085,-0.001933653853941597,-0.00254316703120208,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R327,238957,-0.19437610876567005,-0.18435483758547727,-0.012819298885911849,-0.08484036269770673,0.007819042757115206,0.0011462345189240217,-0.08053802673089705,-0.0009512747160466101,-0.00038919662506231914,0.029097041675299064,-0.061644257128477334,0.0025177180774521046,-0.010896883851038777,-0.02953886023785188,-0.00726129790097479,0.01826849320196426,0.011219002010847847,-0.00040344497147633875,-0.011643576849622118,0.003216017418354675,-0.008952737595018368,0.004454341101822948,0.010097628606733333,-0.005671728150621938,9.812483125537016e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R333,238963,-0.20887122182306525,0.1159648251016315,-0.005318966072765958,-0.07360691234991856,0.00689618070662464,0.0014304950454649356,-0.043168431436625423,-0.0001027648737149218,3.464049280172358e-05,-0.0054628078912151885,-0.06256774610340339,-0.001267310254168963,0.018801048632956865,0.06473827091709362,-0.0321965594458541,-0.0022052924490554007,0.002797971351718567,0.0010635717073387194,0.0004894109577127884,0.003554844983182044,-0.0011595460716978781,0.016031710328867556,-0.0038678916836878408,-0.0035914910944630537,-0.00036252985887547855,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R334,238964,-0.21277587008658505,-0.02693019232124105,-0.010831533110287773,-0.10482882954180517,0.009946191050829169,0.0022644303310344347,-0.07607621618886046,3.3307572836063216e-05,0.00014299909846843977,0.01308066916995777,-0.03923639759502287,-0.0023510343746331913,0.010440496218618183,0.031104402720873395,0.037197688028324474,-0.0475584126717906,-0.012407210910527627,-0.0023922639131187867,0.0021571568629946197,0.003558661647234026,0.0013690590141311185,-0.01107469459242018,0.002306331177046775,0.0022355607112285137,0.00010537943667175919,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R337,238967,-0.20282470652894255,0.18814880075792842,-0.001248743328748262,-0.04256297920292643,0.004339430592570225,0.0008645923838059713,-0.024350055263505498,-0.00017225917639368264,-1.6019062429949286e-05,0.00038806957057772846,-0.06979371396129368,0.004846496809926695,-0.03895367097207638,-0.005895747118466497,0.01519223566233909,-0.02464268023528019,0.0016631845303200648,0.0022678872889528357,-0.02426997688185051,0.008126976888373038,0.015083238118038201,-0.00010167959100280406,-6.794869505170446e-05,0.0016119412589839872,6.009653996407986e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R338,238968,-0.17765853538428591,-0.2522193027103125,-0.011534740974607315,-0.058979881473844344,0.006282039379318201,0.0008827455370462666,-0.07676721851006278,-0.0008146459971901754,-0.00022894985122422025,0.03360359962350766,-0.08840924190791023,0.0030773369070524973,-0.020460356848459482,-0.01625528280426399,-0.005825886140605499,0.002812418316049191,0.0069650837295067835,0.003121225557695014,-5.959645788317343e-06,-0.002580194824837466,0.008771128277032927,-0.00030393669663143866,-0.007715419805682814,0.004347843798776171,2.0855067674260346e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R339,238969,-0.19137293161686889,-0.22843739469523172,-0.011766003579671296,-0.0159707346546409,-0.0017311963489708999,-0.0016960896265498637,-0.018211193373035322,-0.0016107992989717473,-0.0009239874526231148,0.016160608823019926,0.014015085482139818,0.0050311764762547215,-0.03138670534664594,0.0015434984464803997,0.0044086090304631025,0.028363455200539303,-0.010754330996215006,-0.004750839715906239,-0.0077009679607289525,0.009867425587447342,-0.0142996269607307,-0.011040772116186783,-0.005581654072634488,-0.003976233914765487,-0.00019243700212611206,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R343,238973,-0.20099431289141922,0.19765687134053803,0.0008696045885295116,0.003131781289810731,-0.0009195108427737168,-0.0003186275981687226,-0.012466956346345242,-0.0005256128645844735,-0.00037084534919267414,0.0014996264555394501,0.028339290139192175,0.0037070012532302247,-0.03128306998138961,-0.011151858109335748,0.04110220843371668,0.002871102435789895,-0.009003514994486067,-0.007721841131885002,-0.012599329818499847,0.016598524917027527,-0.01865243148158142,0.014905702056799098,-0.0049990403380459755,0.0019844656710088886,0.00011540130328895896,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R346,238976,-0.21676361011346332,0.1084189778006706,-0.004762982451719913,-0.017911685159697977,-0.0013561935678943903,-0.0009133490674647422,0.011932019604168911,-0.0005333758502417212,-0.000370195716747109,-0.012752070275544385,0.02420663420535416,0.0025038523932692674,-0.02029117034868599,-0.02915445890532272,0.002967585958234677,0.03491756220074179,0.002193825892696231,0.001601816797039925,0.0021889967847964296,0.0040790429628363096,0.019590362650646946,-0.000638405612504502,-0.00802939173351093,0.0020202803187573683,-0.0002321832389809284,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R348,238978,-0.2103314731891908,0.13903452371733147,-0.002545129681205569,-0.00036230218183514276,-0.002898745819965884,-0.0013443996911850554,0.024264845828915943,-0.0006471174402681797,-0.0004456792861524671,-0.020267913624967895,0.015932363980220465,0.0037230755937071825,-0.02551492147238511,0.019508039390909844,-0.014593159603102196,0.0023632252467360127,-0.056602127889791756,-0.005351369595438476,-0.025329787411676893,-0.02397186839063063,0.00145315826413246,-0.002744930315813464,0.003769318619467855,-0.0022954552721141217,-5.611734494635828e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
