sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
R362,238991,-0.09842283669741508,-0.0005288345226493334,-0.011459528558492993,-0.00043524439839626503,-1.0120636419678758e-05,-0.0014421714326573443,0.0049550271616788846,-1.3092022111558494e-05,0.00035326839200819636,-1.7141591713601667e-05,0.0007881728197199154,-0.000378839711770966,0.0005892314315062937,0.0008565128362959934,-0.00016819480409757684,-0.00018497474333801863,0.0004206501304476417,-9.762670284307605e-05,0.0001931733448003301,2.209939486822536e-05,2.1182808184792413e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R318,238948,-0.08101987799730802,-6.0907000208823666e-05,-0.0035225671412111655,-0.00010250674128884794,-5.681489148438657e-05,-0.005447471693055039,-0.0029799383494408926,0.0005580615903173869,-0.005246974182172865,-1.4844935301713734e-05,0.0009788661416081255,-0.00040664717541574687,-0.0008533454357860849,0.000976014255693196,0.0002310350382055879,0.0001758604892820455,6.331717252634762e-05,-0.0001382613403680015,6.2669153326011895e-06,-1.954414024084476e-05,-2.3664729944837124e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R320,238950,-0.09364386698928967,-0.0003492301103554809,-0.006758656310650072,-0.00021108469200479375,1.7805761007208804e-05,-0.00031878868197972006,-0.00028541311167702173,1.357748854357382e-05,0.0020562773346180637,-7.407264374478046e-05,-0.0011170226733154215,-0.0010899099910050664,-0.0007995437194604086,-7.5907899425513655e-06,-0.0011061366534504521,-0.0006659889236122221,0.00023117004263129611,-0.00015110446242167113,0.00011823811060684141,-6.241252707568362e-05,1.2480279137870808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R321,238951,-0.08394934710219426,-3.977846901579938e-05,-0.00014958622152641803,6.520572347472766e-05,2.3384128633820065e-05,0.0006539268181827196,-0.002671398596616409,-8.821449774556673e-05,-0.0028911305761042355,0.00016469613562532565,0.0016092153984479261,0.001984049600392426,-0.0007073476634351539,-0.000540982800703803,-0.0010379162683346657,0.0005605731553934209,-1.4943132719165423e-05,5.956161376853291e-05,3.8678486242344916e-05,-6.657274099822773e-06,-1.8429150887065717e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R323,238953,-0.08781311041521786,-0.00022530040448637102,-0.0053848565914483195,-0.0001786653523332208,-3.495417511792044e-05,-0.0025141333048767267,-0.0040683687914313755,0.00032868375229152174,-0.0026286273977441676,-8.682902314563223e-05,-0.0009197168731836613,-0.003194152149999658,0.0008508493521799888,-0.0011354770534266886,-0.0001432470267567094,-0.00016916473789085993,-0.0001537226408027814,0.00014348521150786835,7.1463037970246315e-06,2.1460773156045342e-05,1.387603463836321e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R324,238954,-0.07485905739975174,0.0001982694609937038,0.0026930905327870744,0.0001857030997417041,6.127865376984108e-05,0.0019561298943471194,-0.0007898509568383186,-0.00013977102973334636,0.0009334799071550918,8.416441866022335e-05,0.0008949395902389866,0.0019333137494552857,0.0004798577562796458,0.00014857357790750407,-2.8774224778985406e-05,-0.0007522114849804605,-0.0008938117978327381,-4.581244137326834e-05,-3.7052794899873723e-06,-7.518562676195458e-06,-9.741439154880633e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R327,238957,-0.07231335793885008,0.0002448086874782915,0.002419133594616582,0.00017345555807383526,4.342005529892452e-05,-0.0012134627479521726,0.005550931297436571,6.076815745617496e-05,-0.0005639010199617982,-1.583849921418175e-05,0.0007579031105138728,-6.970171265619317e-05,0.00053505339408239,0.0002413455372028491,0.00019402738242857515,-0.00031245633354742597,-0.000763977308296525,-0.00010366363191174793,6.937512380992238e-05,-4.7983535387028945e-05,7.374287894871532e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R348,238978,-0.08986827083273907,-0.00022506363307884183,-0.0037509816021538372,-8.212516958637666e-05,1.792645499981296e-05,0.00032172325860730836,-0.0021880218865437608,-0.0001032183136032272,-0.0005626203540199885,7.79413950473236e-05,-0.0001316664143329815,0.00046843474793010874,0.00042218049752825663,-0.002498460963483586,0.0005422686956267099,-0.00025534489535703587,8.485896770932778e-05,-0.00018899387855990268,-2.1805987578491408e-06,-3.556728589025266e-05,8.749501353802722e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R308,238938,-0.07529311433349789,0.0004133839015647291,0.011583509434288566,0.00047941550739211516,9.879563872911823e-05,0.008220279476777264,0.0025205170863675987,-0.0003805921656087556,-0.0035071133476684458,-1.1931785008667872e-05,-0.004034647248949838,0.0009531865576345283,0.001004071581138751,0.000702843302481203,5.5711412731648984e-05,0.00019503306428370913,2.7340146062130556e-05,-7.718858640063774e-05,-1.5928614871691599e-06,1.94480067220875e-05,2.5008398345455554e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R317,238947,-0.07111184493575094,0.0002938983032696623,0.00404400219888425,0.00024599131170313643,5.6834527767243704e-05,0.0007091043184901845,0.00036186516949603337,-5.40781358553527e-05,0.002154560108097352,-2.8478341839738462e-05,-0.001030328872645106,0.0001807129770585802,-0.0008290032927707526,-0.0001399490626953081,0.0006039641788681829,0.000582852725233932,-3.1062104214082285e-05,0.00021222202323832446,8.269702577705237e-05,-6.72893182208618e-05,2.8120927852021373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R319,238949,-0.07161117317352124,0.0003126643602367807,0.005040545312732346,0.00027484242696342183,7.35970087148163e-05,0.003144643970344784,-0.0007665638555626803,-0.00018679561549899017,0.0006359437913168774,9.668713541973253e-05,0.0012177968604775546,0.0010486266664822158,0.0011479607151847029,-0.001263362108226296,-0.0010405226340744764,0.0006490016645482842,0.00015956108046826217,4.683346956392486e-05,-3.2672033626770376e-05,2.4755358799172067e-06,9.075052186394698e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R326,238956,-0.07115157917647157,0.0002962260648640255,0.004163192567057016,0.0002496226720993638,6.016776710118167e-05,0.001192043305878086,-9.827086494130122e-06,-9.548333530752938e-05,0.0021302527898405823,7.658647179199881e-06,-0.0004896775953546378,0.0006789586509834163,-6.537571609023514e-05,-0.0007655514064731157,0.0008027691611112881,-0.00016552596236780868,0.00046807535287614284,3.765559304439363e-05,3.1129695640529724e-05,9.07204351202315e-06,-2.2722780936773537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
