"","sample_name","collection_date","collection_site","collection_latitude","collection_longitude","species_code"
"91","CR-6",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"92","CR-8",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"93","CR-10",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"94","CR-11",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"95","CR-23",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"96","CR-24",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"97","CR-45",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"98","CR-51",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"99","CR-57",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"100","CR-58",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"101","KL-CP-10",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"102","KL-CP-2",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"103","KL-CP-5",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"104","KL-CP-8",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"105","KL-CP-22",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"106","KL-CP-21",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"107","KL-CP-37",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"108","KL-CP-29",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"109","KL-CP-43",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"110","KL-CP-50",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"111","KL-CP-59",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"112","KL-CP-53",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"113","KL-CP-55",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"114","KL-CP-62",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"115","KL-CP-74",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"116","KL-CP-67",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"117","KL-CP-70",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"118","KL-CP-75",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"119","KL-CP-77",20201012,"Cheeca",24.90399933,-80.61685944,"OFAV"
"120","KL-PR-7",20201012,"Pickles",24.98698044,-80.41486359,"OFAV"
"121","KL-PR-2",20201012,"Pickles",24.98698044,-80.41486359,"OFAV"
"122","KL-PR-3",20201012,"Pickles",24.98698044,-80.41486359,"OFAV"
"123","KL-PR-5",20201012,"Pickles",24.98698044,-80.41486359,"OFAV"
"124","Tri-16",20210702,"Triangles",25.00873947,-80.44978333,"OFAV"
"125","Tri-7",20210702,"Triangles",25.00873947,-80.44978333,"OFAV"
"126","Tri-11",20210702,"Triangles",25.00873947,-80.44978333,"OFAV"
"127","Tri-17",20210702,"Triangles",25.00873947,-80.44978333,"OFAV"
"128","Tri-18",20210702,"Triangles",25.00873947,-80.44978333,"OFAV"
"129","Tri-40",20210702,"Triangles",25.00873947,-80.44978333,"OFAV"
"130","Tri-31",20210702,"Triangles",25.00873947,-80.44978333,"OFAV"
"131","Tri-37",20210702,"Triangles",25.00873947,-80.44978333,"OFAV"
"132","Tr-2",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"OFAV"
"133","Tr-3",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"OFAV"
"134","CR-5-A",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"135","Tr-34",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PAST"
"136","CR-1",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"137","CR-5-B",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"138","CR-22",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"139","CR-44",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"140","CR-33",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"141","CR-56",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"142","CR-47",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"143","CR-48",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"144","CR-49",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"145","CR-53",20210702,"Conch",24.94844437,-80.46238708,"PAST"
"146","KL-CP-3",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"147","KL-CP-23",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"148","KL-CP-17",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"149","KL-CP-18",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"150","KL-CP-19",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"151","KL-CP-20",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"152","KL-CP-35",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"153","KL-CP-28",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"154","KL-CP-32",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"155","KL-CP-34",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
