sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
D1-D4-D4c-D2-D1c-D17d,1442640,-0.00020232249961310353,0.030151312102071483,-0.017344683559142326,0.002134399898394295,0.010558276107228608,0.0024334494492352266,0.02505431189653544,-0.0038712101105399,-0.00037957969647605983,-0.0036995270441603553,-0.000892855749749476,7.033543057456467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ip,1442671,-0.11673268005610017,0.08961627278581766,-0.022581058348727943,-0.012112846344726758,0.012152220092288257,-0.038073303737599394,-0.006933124066966231,0.0095852469159662,-0.002429866176789874,-0.0034312866777238193,-0.00033864392627382876,-0.0001414791296715187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1ip,1442672,-0.05282618945456912,0.032331696282476945,-0.004390606998527548,-0.02231019608656311,0.0025993607015004543,-0.022265504693271206,0.0005325728246565833,-0.007778178111321867,0.008401840930747067,0.009134964658131604,0.0017470287132540876,0.000503211484966425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,1443229,0.23730634473590362,0.01199083723928882,-0.004285243451344201,0.024783659139669498,0.012963046171976009,-0.005109649591110847,-0.0011510043728863125,-0.0035490593008406027,0.011362667383165121,-0.0013020125468475598,-0.0030173137211895002,-6.610618541279852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D17e-D17d-D4c-D1r-D17c-D17j,1442741,0.3332970938410526,0.012535899944893854,-0.030627009710269347,-0.006919820190620909,-0.0050100061900127035,0.0024571348551371327,-0.008081106780263638,0.0005873476994712512,-0.007922406640015554,2.4998357663426528e-05,0.0017501861516962805,3.0698714352151573e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1hg-D4c-D1c-D5ad-D1ju,1443262,0.031949900512647074,-0.009301299638116533,0.13892052045429704,-0.013477007890684083,0.02313875348061892,0.0022827048958944003,0.0022849627043909086,0.005405457352862073,-0.001294696329490943,-0.0004254124555128151,0.0005728114466317648,4.56314586821933e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4f-D1c,1442784,-0.09234666425587434,-0.039930939917097515,-0.017016629154744427,0.08540756765031744,0.018338057545972782,0.005387130827516261,-0.003963003431190174,0.0106779843831404,-0.005546021874369539,-0.003952450308359483,-0.0006819552982998124,-3.457633496035741e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1n-D4c,1442802,-0.023553490067778685,-0.02923140606832083,-0.018153342460509318,-0.08263474007589824,-0.020849552196227614,0.013351136052087704,0.006129707106257302,0.0072239912991503945,-0.004719031632587838,-0.0051410417481225915,-0.002311104863432056,-9.971087016357594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1c,1443434,-0.053702867744744705,-0.16603659705834012,-0.03091848936554827,-0.017113344698693158,0.024627918318156267,-0.006711805962595385,0.002371914567798989,-0.007900701118874157,0.00327636524802682,0.0018374430279939522,0.0010094048886960334,2.8736159892676885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.6635003860438985,0.14820095134463016,0.07391008908346855,0.05468691078006021,0.026551284225194552,0.013914414569025042,0.00812075138028739,0.006344602675386551,0.002696957154184543,0.001544005358093075,0.0005207966306610927,8.85075511041737e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
