sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
D1-D4-D4c-D1hg-D5ad-D6-D1ju,1466130,-0.04326056080597807,-0.06328230441657468,-0.0893472598849837,-0.022913460710432484,-0.008366208127850447,-0.011975794180874631,-0.011161032477718128,0.00016374674055142464,0.013629354171059377,-0.0077239786484283495,0.0008014904805539297,0.00031569225174952705,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c-D1h,1464637,-0.04626252893963475,0.014358120052019979,-0.000840951252312446,0.009023505267236437,-0.001003157416013144,0.009224379454553682,0.0009262693852805342,-0.005278789932051032,-0.0022744452739483626,-0.006223911288742216,-0.0007621041231805663,-0.00510185757161381,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d,1464672,-0.010377237653146205,0.022193827185419877,6.783038966177254e-05,0.000500588078483536,0.0013551466890315842,0.014951607534338144,0.006516685875218311,-0.006204585943866941,0.005191230270475913,0.0019517801942538745,-0.004997174331405085,-0.001106810366454093,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1ip,1464705,-0.0612567163015341,0.025014423411550413,-0.0005680771574730202,0.017151408374738854,-0.018747226033448784,0.010681236923068447,0.023304519142390883,-0.003880600870484932,8.505212871869147e-05,-0.003961678858279,0.000601417564605238,0.0013869796371060196,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ip,1464704,-0.12407232600520733,0.08444778964736387,0.028187819214397447,0.011126298389279395,-0.043698246451318964,0.0013017186652226024,0.011699612879910759,0.006910308947053763,0.00034183289932896755,-0.0022083616688057923,0.0005077150617373955,0.0002734888367662833,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1k-D4i,1464706,-0.10539799657168093,0.0630252920700085,0.013195027037379905,0.019513624908686213,0.04892790468937717,-0.01215067573795969,0.010606187869833267,-0.016799386319018495,0.007608168806317251,0.0030820685713307777,0.0016476371975792305,-0.00016624510155206022,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,1465280,0.2251036555014116,0.023472325560336897,-0.02892643654254095,-0.008781050797176587,-0.001121406833282473,-0.011634291392452412,0.010951805344005998,-0.007694438055245184,-0.0012225339461229535,-0.007923580574228671,-0.0012717804443940644,0.0010694130039224767,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D17e-D17d-D4c-D1r-D17c-D17j,1464773,0.31249844688195016,0.036064958260830886,-0.04585116272479379,0.029332191646384568,0.0030396030130170996,-0.0018551580112877804,-0.0020361301041616426,0.010956052204411924,-0.001315945209529494,0.006034110311052416,0.0005621308214673079,-0.0005757656782360844,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D2-D4c-D1k-D1h,1465319,-0.0812167212057503,0.04543212429970676,0.017409146683740565,-0.005890649714056909,0.021468186532924028,-0.0036345837964182758,-0.02403107724527126,0.014022137976666483,-0.011494866868498425,-0.008939502054416312,-0.002906893379839861,-3.206607451590463e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1c,1465505,-0.03173824787056206,-0.1602586584001662,0.06813663673769618,0.04207808636359836,0.006062301728259452,0.010708230724591889,0.008039626339451104,0.008244307355030348,0.006061956419972794,-0.0023123546632756865,-0.0014093401597501452,8.140975214190063e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.6543991187375945,0.15500770773853717,0.10212145447893616,0.04416590321883054,0.014153026719650035,0.012909077565389537,0.008397819439764113,0.004038032102614576,0.002786315591453845,0.001474166008623268,0.0004252619495086714,0.0001221164490975626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
