sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
D1/D4/D2-D4c-D17d-D17c-D1r-D17e,1464522,-0.06561284678347246,-0.11921135954781929,0.05125568285682915,0.0067411050532571225,0.004331915355191588,0.02687249100353506,-0.020796629699575908,-0.0011633012440951144,-0.022808270397804864,0.009701860426871232,0.0027591087820496188,0.003109876933153585,-0.0008906705701786237,0.0006337497773168693,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D6-D1c-D4f-D3b,1466114,-0.04602865962324812,0.09613325444968772,-0.027102702793530564,0.012405703154234666,0.015320634687521517,0.046743635873319464,-0.023211013919901154,0.012667212836902492,-0.0019101655129239341,-0.022309833231357618,0.006036801712210602,-0.0010770991343832612,0.0005478905606777024,-0.00030196617785083186,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D6-D1c,1466112,-0.04557155895963407,0.010121720263023862,-0.02392621648068616,0.00361831155145629,-0.02742210471924006,-0.008194122825256292,-0.04511235206739033,-0.004384642774297994,-0.001877677826934422,-0.008301737051382008,0.0027596143221793406,-0.006179540618339976,0.00025545430833980764,-0.00018874710706724907,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1hg-D5ad-D6-D1ju,1466130,-0.06331923574588447,0.09545113470120929,-0.021608590902840116,0.03838211769143698,0.06966258704131938,-0.04127481649322322,-0.02465510878629261,0.01169641828427219,-0.021660359436518985,-0.0052198172736456555,-0.0007360734415433632,-3.877212140690692e-06,-0.0006633336050341805,-0.00015611931318055443,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c-D1h,1464637,-0.03997354491754887,-0.00248546406125698,-0.0360417599897015,-0.02343914443839243,-0.01871585487258215,0.007026303585614891,0.008966336472869124,0.008503234050698655,0.0033738529555971813,0.023496035637716548,-0.022245499881728838,-0.0042550298024725125,-0.002190817100423295,-0.0020668906660735583,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d,1464672,-0.039212178641514744,-0.007065606544585176,-0.009460834511631575,-0.006501951637287148,-0.02757515234806291,-0.003429248851757418,-0.0073114283086887855,-0.008379936641988396,-0.00589435417862265,0.012768422107532124,0.008375693280337134,0.005357260505090792,-0.006674699260696243,-0.0032448332289350817,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1ip,1464705,-0.03351278485203539,-0.02667024636985743,-0.02990096028611599,-0.007515852079474686,-0.016546340543855464,0.00046858896835758285,0.010834045191814488,-0.03830188720355474,0.006798463819812598,-0.005710398135023202,0.005704791019795948,-0.0071980816970172974,-0.003223301912093762,-0.0017635686220066173,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ip,1464704,-0.0642269783230271,-0.1205105751057268,-0.049018643192406876,0.006816984402490941,0.003480056844735935,0.009566720199542586,0.013474164703494947,-0.02602749440419684,-0.028486171459241115,-0.026583052156374205,-0.007634104418040885,-0.0010534489084143763,0.0006305677698878045,0.00011335588304993575,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1k-D4i,1464706,-0.06228543498236793,-0.11707392864984335,-0.027663290455834655,0.08471209384298936,0.012911316388403789,-0.02488852551675941,0.019391754015135793,-0.004267646026980622,0.03624228731569028,-0.016113223449559462,0.0005341467185837862,0.0022600585893314605,6.450367383494631e-05,0.0002266011554997102,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,1465280,-0.028236603162810073,0.006651405709931781,0.10948303550713323,-0.05700977015005282,0.03662669696930398,0.03099656378625251,0.004714306155604891,-0.014977780575871576,0.02371591852772213,0.0031207472680168475,0.005384082357101935,0.0016630390406647936,-0.0010854501726075961,-0.0003210099432336178,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
