sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
D1/D4/D2-D4c-D17d-D17c-D1r-D17e,1464522,-0.11436978921712886,0.1889702959523771,-0.06779218061440133,0.029139103295267952,-0.0016008897645890907,-0.027695986103628906,0.005177802600337388,-0.03407630999496626,0.013434083305928992,0.0034943197459448515,0.007765364081017694,-0.016601661142670542,0.00419392411669492,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D6-D1c-D4f-D3b,1466114,-0.01603523517874646,-0.11657303295713614,0.12566970535927288,-0.01708635719942267,-0.005673741805900924,-0.08026745122974525,0.026847536687537657,0.007587549049675965,0.04037733820917775,-0.03732659326864732,0.01786132324302225,0.0025224791624088674,-0.0018386523238532793,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D6-D1c,1466112,-0.0330659933532694,-0.06876623061672073,-0.016649705544746214,-0.0009664193654090674,-0.04494340103429742,-0.04619377889766702,0.07368942707502034,-0.006806252210411816,0.01327380311670407,0.019883355368293654,0.013418562359444736,0.00530557445695209,0.005214447152093062,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1hg-D5ad-D6-D1ju,1466130,-0.0826372535277832,-0.09467386573227615,0.12180323489517517,0.1799408517387385,0.013975996239490416,0.042691778009709,0.08318851145244202,0.0240212905371239,0.0006249013592019932,0.01131667922958027,0.0015466614919618378,-0.0002867256917428441,0.0010112036912938585,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c-D1h,1464637,-0.0236167373569503,-0.0634471198044157,-0.04846158923011655,-0.02876994926786321,-0.035696125199018665,0.007553020896950978,-0.024021918091574192,0.004143069644725022,0.04707282312472883,0.03039366364300636,-0.03745688308758036,0.007242201806814173,-0.000581804181375773,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d,1464672,-0.027273982941200356,-0.0051804750074498015,-0.029325584069872013,-0.032322283575791796,-0.03283785402972827,0.0018883171713327852,-0.003212644107028378,-0.028167656956002332,-0.003912970881200655,0.021703949322066343,0.008113238774155313,0.004436943864098171,0.007584795202427341,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1ip,1464705,-0.017944837007322852,-0.05417078080966008,-0.0679696943936467,-0.020478588322355818,-0.026783354814537447,0.005545866096384709,-0.003532273028988034,-0.05345893300121964,-0.022880565320038838,-0.03235237121613357,-0.020105418145596795,0.011468185460506965,0.0026525491089187886,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ip,1464704,-0.11123201409844241,-0.0432944437150197,-0.12384494922002831,-0.0045210485816849005,0.043172638025423885,0.03379587502169582,0.044203716849432174,-0.058935724444363256,0.005989793471538686,-0.03542303110627465,-0.010359327309710151,-0.00038536953589037384,-0.001820803081451031,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1k-D4i,1464706,-0.10779174338258368,-0.0113282257213136,-0.16561528901692266,0.05435272098038237,0.0555016924511646,-0.038688145885014145,-0.012259697680066035,0.05083570765249306,-0.07610147734335561,-0.0013309518476214586,-0.0006661072139126464,0.0014784488195985599,-0.0009802442249032674,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,1465280,-0.007395121570762645,0.22545537900355322,0.1279319380478839,0.0015137835808811807,-0.04036778551680938,-0.048737478241159635,-0.06615791856622516,-0.026055566378978837,-0.008208843964645017,0.0046183240811628525,-8.13881277982572e-06,-0.00143707501903832,0.0031713436596655146,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D17e-D17d-D4c-D1r-D17c-D17j,1464773,-0.08404331588149667,0.27707861110536347,0.11587221462374425,0.04308998721747603,0.0725525600482188,-0.01176738528606923,-0.019784476572930365,0.0163027628382393,0.009810872961361497,-0.016409684832183784,-0.006361937887698147,0.0006626395308842373,-0.005571672566344115,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D2-D4c-D1k-D1h,1465319,-0.10813454507002247,-0.022317139533705416,-0.15999272826125047,0.04414812466568771,0.003222197061728072,-0.0120829165962794,-0.03315559606528495,0.07493445887274286,0.061936863718527246,-0.007682909620106922,-0.008564868939237365,-0.009260063998228714,-0.001849374957786311,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.49537366328122173,0.20540080029338306,0.11553477778827154,0.06738665278386193,0.03529633879906635,0.024313791938833488,0.02072349229759391,0.016906590980031336,0.010006420188575995,0.004269398123665916,0.002785532645518794,0.0011871171550345404,0.0008154237249414349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
