sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,species_name,collection_latitude,collection_longitude,collection_date,collection_depth,collection_site,collection_batch
KL-CP-18,KL-CP-18_S114_L001_R1_001.fastq.gz,KL-CP-18_S114_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,8,Cheeca,contemporary
KL-CP-19,KL-CP-19_S115_L001_R1_001.fastq.gz,KL-CP-19_S115_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,6,Cheeca,contemporary
KL-CP-20,KL-CP-20_S116_L001_R1_001.fastq.gz,KL-CP-20_S116_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,6,Cheeca,contemporary
KL-CP-35,KL-CP-35_S119_L001_R1_001.fastq.gz,KL-CP-35_S119_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,10,Cheeca,contemporary
KL-CP-28,KL-CP-28_S124_L001_R1_001.fastq.gz,KL-CP-28_S124_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,11,Cheeca,contemporary
KL-CP-32,KL-CP-32_S127_L001_R1_001.fastq.gz,KL-CP-32_S127_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,12,Cheeca,contemporary
KL-CP-34,KL-CP-34_S129_L001_R1_001.fastq.gz,KL-CP-34_S129_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,12,Cheeca,contemporary
KL-CP-47,KL-CP-47_S131_L001_R1_001.fastq.gz,KL-CP-47_S131_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,13,Cheeca,contemporary
KL-CP-41,KL-CP-41_S136_L001_R1_001.fastq.gz,KL-CP-41_S136_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,12,Cheeca,contemporary
KL-CP-42,KL-CP-42_S137_L001_R1_001.fastq.gz,KL-CP-42_S137_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,11,Cheeca,contemporary
KL-CP-60,KL-CP-60_S144_L001_R1_001.fastq.gz,KL-CP-60_S144_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,13,Cheeca,contemporary
KL-CP-56,KL-CP-56_S151_L001_R1_001.fastq.gz,KL-CP-56_S151_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,13,Cheeca,contemporary
KL-CP-72,KL-CP-72_S155_L001_R1_001.fastq.gz,KL-CP-72_S155_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,13,Cheeca,contemporary
KL-CP-73,KL-CP-73_S156_L001_R1_001.fastq.gz,KL-CP-73_S156_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,12,Cheeca,contemporary
KL-CP-84,KL-CP-84_S167_L001_R1_001.fastq.gz,KL-CP-84_S167_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,10,Cheeca,contemporary
KL-CP-79,KL-CP-79_S173_L001_R1_001.fastq.gz,KL-CP-79_S173_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,10,Cheeca,contemporary
KL-CP-82,KL-CP-82_S176_L001_R1_001.fastq.gz,KL-CP-82_S176_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,12,Cheeca,contemporary
KL-CP-83,KL-CP-83_S177_L001_R1_001.fastq.gz,KL-CP-83_S177_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20201012,9,Cheeca,contemporary
KL-257,KL-257_S201_L001_R1_001.fastq.gz,KL-257_S201_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.93535233,-80.54960632,20010623,3.6,Tavernier Rocks,historical
KL-701,KL-701_S279_L001_R1_001.fastq.gz,KL-701_S279_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.90399933,-80.61685944,20030930,14,Cheeca,historical
KL-111,KL-111_S283_L001_R1_001.fastq.gz,KL-111_S283_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,16.9,Conch,historical
KL-67,KL-67_S285_L001_R1_001.fastq.gz,KL-67_S285_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.11186028,-80.28582764,20010621,4.6,Outer Reef,historical
KL-87,KL-87_S297_L001_R1_001.fastq.gz,KL-87_S297_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,17.3,Conch,historical
KL-88,KL-88_S298_L001_R1_001.fastq.gz,KL-88_S298_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,17.1,Conch,historical
